property_type,region,area_m2,price_usd,lat,lon,state
apartment,Northeast,186,234038.56,-38.456074,-38.456074,Bahia
apartment,Northeast,186,411471.01,-38.486431,-38.486431,Bahia
apartment,Northeast,128,234038.56,-38.439594,-38.439594,Bahia
apartment,Northeast,122,249641.14,-38.52309,-38.52309,Bahia
apartment,Northeast,59,145790.42,-38.43898,-38.43898,Bahia
apartment,Northeast,140,234038.56,-38.479004,-38.479004,Bahia
apartment,Northeast,180,277725.76,-38.417938,-38.417938,Bahia
apartment,Northeast,210,246520.62,-38.526047,-38.526047,Bahia
apartment,Northeast,59,113898.77,-38.444553,-38.444553,Bahia
apartment,Northeast,71,106097.48,-38.477962,-38.477962,Bahia
apartment,Northeast,55,140423.14,-38.5047,-38.5047,Bahia
apartment,Northeast,98,174748.79,-38.45739,-38.45739,Bahia
apartment,Northeast,127,180989.82,-38.456074,-38.456074,Bahia
apartment,Northeast,235,165387.25,-38.45739,-38.45739,Bahia
apartment,Northeast,195,452474.56,-38.456074,-38.456074,Bahia
apartment,Northeast,170,202833.42,-38.526047,-38.526047,Bahia
apartment,Northeast,95,187230.85,-38.465279,-38.465279,Bahia
apartment,Northeast,230,405666.85,-38.526047,-38.526047,Bahia
apartment,Northeast,185,212194.96,-38.521461,-38.521461,Bahia
apartment,Northeast,90,184110.34,-38.516327,-38.516327,Bahia
apartment,Northeast,75,131061.59,-38.443928,-38.443928,Bahia
apartment,Northeast,166,187230.85,-38.52309,-38.52309,Bahia
apartment,Northeast,100,227797.54,-38.52298,-38.52298,Bahia
apartment,Northeast,71,78012.85,-38.32711,-38.32711,Bahia
house,Northeast,250,374461.71,-38.465279,-38.465279,Bahia
apartment,Northeast,158,180989.82,-38.403465,-38.403465,Bahia
apartment,Northeast,102,265243.71,-38.52309,-38.52309,Bahia
apartment,Northeast,54,92679.27,-38.470348,-38.470348,Bahia
apartment,Northeast,128,235843.06,-38.43898,-38.43898,Bahia
apartment,Northeast,164,414404.29,-38.52309,-38.52309,Bahia
apartment,Northeast,210,327653.99,-38.405239,-38.405239,Bahia
apartment,Northeast,139,234038.56,-38.405239,-38.405239,Bahia
apartment,Northeast,215,374461.71,-38.519222,-38.519222,Bahia
apartment,Northeast,180,265243.71,-38.45739,-38.45739,Bahia
apartment,Northeast,212,415028.39,-38.391624,-38.391624,Bahia
apartment,Northeast,120,98296.19,-38.52309,-38.52309,Bahia
apartment,Northeast,168,312051.42,-38.526047,-38.526047,Bahia
apartment,Northeast,142,115146.97,-38.444553,-38.444553,Bahia
apartment,Northeast,78,134182.11,-38.469273,-38.469273,Bahia
apartment,Northeast,100,109217.99,-38.477962,-38.477962,Bahia
apartment,Northeast,198,218435.99,-38.456074,-38.456074,Bahia
apartment,Northeast,114,202833.42,-38.45739,-38.45739,Bahia
apartment,Northeast,82,81133.37,-38.444553,-38.444553,Bahia
apartment,Northeast,203,265243.71,-38.45739,-38.45739,Bahia
apartment,Northeast,90,131061.59,-38.528343,-38.528343,Bahia
apartment,Northeast,75,85703.4,-38.424129,-38.424129,Bahia
apartment,Northeast,67,131061.59,-38.499725,-38.499725,Bahia
apartment,Northeast,156,390064.28,-38.486099,-38.486099,Bahia
apartment,Northeast,116,208450.35,-38.392464,-38.392464,Bahia
apartment,Northeast,143,253385.75,-38.392464,-38.392464,Bahia
apartment,Northeast,109,146664.17,-38.435516,-38.435516,Bahia
apartment,Northeast,155,310491.16,-38.45739,-38.45739,Bahia
apartment,Northeast,71,84253.88,-38.444553,-38.444553,Bahia
apartment,Northeast,100,146664.17,-38.477451,-38.477451,Bahia
apartment,Northeast,103,186669.16,-38.52309,-38.52309,Bahia
apartment,Northeast,89,160706.48,-38.436806,-38.436806,Bahia
apartment,Northeast,143,296448.85,-38.403465,-38.403465,Bahia
apartment,Northeast,75,77388.75,-38.46265,-38.46265,Bahia
house,Northeast,170,93615.42,-38.365299,-38.365299,Bahia
apartment,Northeast,230,464956.62,-38.519222,-38.519222,Bahia
apartment,Northeast,73,104537.22,-38.456074,-38.456074,Bahia
apartment,Northeast,200,187230.85,-38.405651,-38.405651,Bahia
apartment,Northeast,74,101416.71,-38.32711,-38.32711,Bahia
apartment,Northeast,142,274605.25,-38.40873,-38.40873,Bahia
apartment,Northeast,77,109217.99,-38.501404,-38.501404,Bahia
apartment,Northeast,200,187230.85,-38.405651,-38.405651,Bahia
apartment,Northeast,210,238719.34,-38.45739,-38.45739,Bahia
apartment,Northeast,105,136490.6,-38.52309,-38.52309,Bahia
apartment,Northeast,210,238719.34,-38.45739,-38.45739,Bahia
apartment,Northeast,105,136490.6,-38.52309,-38.52309,Bahia
